tier,role,relative_path,bytes,sha256,share_policy,download_url
required,transfer_reference_checkpoint,runs/aic_b448_aligned_formal_v2_20260713/collected/full.pt,783174886,8a349c46647166dcb4c0758f26cc8bde1926dfc7ed3b5b2a57c814b9d0d0c73a,"公开 Release；不进入普通 Git",https://github.com/WRw5w/aic_new/releases/download/handoff-v1-20260816/full.pt
required,complete_record_handoff,release/aic_record_handoff_20260829.zip,502918332,1daa34042510e7edc8433207d665667fcc3f06ee6c2524d34a5b46390c06795c,"公开 Release；无赛事原始数据和活跃凭据",https://github.com/WRw5w/aic_new/releases/download/full-history-20260829/aic_record_handoff_20260829.zip
diagnostic_only,pe_core_g14_lora_ep04,release/pe_core_g14_lora_ep04.pt,83929597,70c3d838dfa82bada7e734d5da5f1dd1cfbb496e57fa2747e729f98778571b73,"公开 Release；违规诊断历史，不得正式提交",https://github.com/WRw5w/aic_new/releases/download/full-history-20260829/pe_core_g14_lora_ep04.pt
required,transfer_reference_submission,runs/aic_b448_aligned_formal_v2_20260713/collected/pred_b448_aligned_tta_balanced.zip,541610,7001273b400720b3864edb5678fbac5ca4e8f3fe33ddefab30b2cb1c295fc347,"记录包内同队交接",https://github.com/WRw5w/aic_new/releases/download/full-history-20260829/aic_record_handoff_20260829.zip
required,transfer_reference_provenance,runs/aic_b448_aligned_formal_v2_20260713/collected/provenance.submit.json,665,5c8ff4652cda36fff26835c68c23995e3b7c7a16acae1b7808e31e45cf735855,"Git 与记录包均包含",https://github.com/WRw5w/aic_new
reference,reproduction_submission,remote_results/lora_20260701_154548/submissions/pred_results_champion_real_tta_balanced.zip,541623,32b9e0e70b53727cac8c350f0dee396f892a57230c8bffbd2756a1584bc5863e,"记录包内同队交接",https://github.com/WRw5w/aic_new/releases/download/full-history-20260829/aic_record_handoff_20260829.zip
